"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","event.category","event.dataset","event.duration","event.ingested","event.kind","event.module","event.type","fileset.name","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.path","log.flags","log.offset","mysql.slowlog.bytes_sent","mysql.slowlog.current_user","mysql.slowlog.lock_time.sec","mysql.slowlog.query","mysql.slowlog.query_cache_hit","mysql.slowlog.rows_affected","mysql.slowlog.rows_examined","mysql.slowlog.rows_sent","mysql.slowlog.schema","mysql.thread_id","service.type","source.ip","user.name","user.name.text"
"Oct 26, 2022 @ 02:35:17.000",anBtEIQBIBAo7axPiZ0L,".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.1","Oct 26, 2022 @ 02:35:24.811",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,708,567","1.2KB",root,0,"select * from admin where id = '1';",true,0,0,1,"clinic_db",398,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:35:17.000",aXBtEIQBIBAo7axPiZ0L,".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.0","Oct 26, 2022 @ 02:35:24.811",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,708,310",0B,root,0,"# administrator command: Quit;",false,0,0,0,"clinic_db",397,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:35:17.000",aHBtEIQBIBAo7axPiZ0L,".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.1","Oct 26, 2022 @ 02:35:24.810",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,708,050","1.1KB",root,0,"select * from manage_website;",true,0,0,1,"clinic_db",397,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:35:17.000",Z3BtEIQBIBAo7axPiZ0L,".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.0","Oct 26, 2022 @ 02:35:24.810",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,707,793",0B,root,0,"# administrator command: Quit;",false,0,0,0,"clinic_db",396,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:35:17.000",ZnBtEIQBIBAo7axPiZ0L,".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.1","Oct 26, 2022 @ 02:35:24.810",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,707,533","1.1KB",root,0,"select * from manage_website;",true,0,0,1,"clinic_db",396,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:35:16.000",ZXBtEIQBIBAo7axPiZ0L,".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.0","Oct 26, 2022 @ 02:35:24.789",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,707,252",0B,root,0,"# administrator command: Quit;",false,0,0,0,"clinic_db",395,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:35:16.000",ZHBtEIQBIBAo7axPiZ0L,".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.1","Oct 26, 2022 @ 02:35:24.789",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,706,992","1.1KB",root,0,"select * from manage_website;",true,0,0,1,"clinic_db",395,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:35:16.000",Y3BtEIQBIBAo7axPiZ0L,".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.0","Oct 26, 2022 @ 02:35:24.789",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,706,735",0B,root,0,"# administrator command: Quit;",false,0,0,0,"clinic_db",394,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:35:15.000",YnBtEIQBIBAo7axPiZ0L,".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.1","Oct 26, 2022 @ 02:35:24.789",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,706,445","1.2KB",root,0,"select * from admin where id = '1';",true,0,0,1,"clinic_db",394,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:35:15.000",YXBtEIQBIBAo7axPiZ0L,".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.0","Oct 26, 2022 @ 02:35:24.788",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,706,188",0B,root,0,"# administrator command: Quit;",false,0,0,0,"clinic_db",393,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:35:15.000",YHBtEIQBIBAo7axPiZ0L,".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.1","Oct 26, 2022 @ 02:35:24.788",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,705,928","1.1KB",root,0,"select * from manage_website;",true,0,0,1,"clinic_db",393,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:35:15.000",X3BtEIQBIBAo7axPiZ0L,".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.0","Oct 26, 2022 @ 02:35:24.788",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,705,671",0B,root,0,"# administrator command: Quit;",false,0,0,0,"clinic_db",392,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:35:15.000",XnBtEIQBIBAo7axPiZ0L,".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.1","Oct 26, 2022 @ 02:35:24.788",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,705,411","1.1KB",root,0,"select * from manage_website;",true,0,0,1,"clinic_db",392,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:35:15.000",XXBtEIQBIBAo7axPiZ0L,".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.0","Oct 26, 2022 @ 02:35:24.788",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,705,154",0B,root,0,"# administrator command: Quit;",false,0,0,0,"clinic_db",391,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:35:15.000",XHBtEIQBIBAo7axPiZ0L,".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.1","Oct 26, 2022 @ 02:35:24.788",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,704,894","1.1KB",root,0,"select * from manage_website;",true,0,0,1,"clinic_db",391,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:35:15.000",W3BtEIQBIBAo7axPiZ0L,".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.9","Oct 26, 2022 @ 02:35:24.787",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,704,538","1.2KB",root,0,"SELECT * FROM admin WHERE loginid=''=''or'' and password = 'bfb24fd89850a67d73a5b89a226b8603febf6f3c2132fcdb75b935b19c8de56f';",false,0,1,1,"clinic_db",391,mysql,"172.24.2.100",root,root
