"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","error.message","event.dataset","event.ingested","event.module","event.original","event.timezone","fileset.name","host.architecture","host.containerized","host.hostname","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.path","log.offset","service.type"
"Oct 26, 2022 @ 02:54:49.896","63B_EIQBIBAo7axPZ52c",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:54:49 Web_Server su[20404]: pam_unix(su:session): session opened for user root by hacker(uid=0)]","system.auth","Oct 26, 2022 @ 02:54:55.899",system,"Oct 25 18:54:49 Web_Server su[20404]: pam_unix(su:session): session opened for user root by hacker(uid=0)","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","37,379",system
"Oct 26, 2022 @ 02:55:05.006","7HB_EIQBIBAo7axPj50a",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:55:01 Web_Server CRON[20483]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory]","system.auth","Oct 26, 2022 @ 02:55:06.009",system,"Oct 25 18:55:01 Web_Server CRON[20483]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","37,485",system
"Oct 26, 2022 @ 02:54:39.894","4nB_EIQBIBAo7axPLZ0B",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:54:39 Web_Server sshd[20297]: Accepted password for hacker from 172.24.2.11 port 41052 ssh2]","system.auth","Oct 26, 2022 @ 02:54:40.897",system,"Oct 25 18:54:39 Web_Server sshd[20297]: Accepted password for hacker from 172.24.2.11 port 41052 ssh2","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","36,448",system
"Oct 26, 2022 @ 02:54:38.892","4XB_EIQBIBAo7axPLZ0B",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:54:29 Web_Server sshd[20260]: fatal: ssh_dispatch_run_fatal: Connection from 172.24.2.11 port 41038: Broken pipe [preauth]]","system.auth","Oct 26, 2022 @ 02:54:40.896",system,"Oct 25 18:54:29 Web_Server sshd[20260]: fatal: ssh_dispatch_run_fatal: Connection from 172.24.2.11 port 41038: Broken pipe [preauth]","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","36,315",system
"Oct 26, 2022 @ 02:54:42.895","5HB_EIQBIBAo7axPTJ1C",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:54:40 Web_Server sshd[20297]: pam_env(sshd:session): Unable to open env file: /etc/default/locale: No such file or directory]","system.auth","Oct 26, 2022 @ 02:54:48.897",system,"Oct 25 18:54:40 Web_Server sshd[20297]: pam_env(sshd:session): Unable to open env file: /etc/default/locale: No such file or directory","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","36,656",system
"Oct 26, 2022 @ 02:54:39.894","43B_EIQBIBAo7axPOJ26",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:54:39 Web_Server sshd[20297]: pam_unix(sshd:session): session opened for user hacker by (uid=0)]","system.auth","Oct 26, 2022 @ 02:54:43.898",system,"Oct 25 18:54:39 Web_Server sshd[20297]: pam_unix(sshd:session): session opened for user hacker by (uid=0)","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","36,550",system
"Oct 26, 2022 @ 02:54:03.885","3nB-EIQBIBAo7axPs53h",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:54:01 Web_Server CRON[20061]: pam_unix(cron:session): session opened for user root by (uid=0)]","system.auth","Oct 26, 2022 @ 02:54:09.889",system,"Oct 25 18:54:01 Web_Server CRON[20061]: pam_unix(cron:session): session opened for user root by (uid=0)","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","36,211",system
"Oct 26, 2022 @ 02:55:05.006","7XB_EIQBIBAo7axPop2l",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:55:01 Web_Server CRON[20483]: pam_unix(cron:session): session opened for user root by (uid=0)]","system.auth","Oct 26, 2022 @ 02:55:11.012",system,"Oct 25 18:55:01 Web_Server CRON[20483]: pam_unix(cron:session): session opened for user root by (uid=0)","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","37,620",system
"Oct 26, 2022 @ 02:54:49.896","6nB_EIQBIBAo7axPVJ0a",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:54:49 Web_Server su[20404]: pam_env(su:session): Unable to open env file: /etc/default/locale: No such file or directory]","system.auth","Oct 26, 2022 @ 02:54:50.900",system,"Oct 25 18:54:49 Web_Server su[20404]: pam_env(su:session): Unable to open env file: /etc/default/locale: No such file or directory","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","37,248",system
"Oct 26, 2022 @ 02:54:49.896","6XB_EIQBIBAo7axPVJ0a",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:54:49 Web_Server su[20404]: + /dev/pts/0 root:root]","system.auth","Oct 26, 2022 @ 02:54:50.900",system,"Oct 25 18:54:49 Web_Server su[20404]: + /dev/pts/0 root:root","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","37,187",system
"Oct 26, 2022 @ 02:54:49.896","6HB_EIQBIBAo7axPVJ0a",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:54:49 Web_Server su[20404]: Successful su for root by root]","system.auth","Oct 26, 2022 @ 02:54:50.900",system,"Oct 25 18:54:49 Web_Server su[20404]: Successful su for root by root","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","37,118",system
"Oct 26, 2022 @ 02:54:49.896","53B_EIQBIBAo7axPVJ0a",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:54:48 Web_Server sudo: pam_unix(sudo:session): session opened for user root by hacker(uid=0)]","system.auth","Oct 26, 2022 @ 02:54:50.899",system,"Oct 25 18:54:48 Web_Server sudo: pam_unix(sudo:session): session opened for user root by hacker(uid=0)","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","37,015",system
"Oct 26, 2022 @ 02:54:49.896","5nB_EIQBIBAo7axPVJ0a",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:54:48 Web_Server sudo: pam_env(sudo:session): Unable to open env file: /etc/default/locale: No such file or directory]","system.auth","Oct 26, 2022 @ 02:54:50.899",system,"Oct 25 18:54:48 Web_Server sudo: pam_env(sudo:session): Unable to open env file: /etc/default/locale: No such file or directory","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","36,887",system
"Oct 26, 2022 @ 02:54:49.896","5XB_EIQBIBAo7axPVJ0a",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:54:48 Web_Server sudo:     root : TTY=pts/0 ; PWD=/root ; USER=root ; COMMAND=/bin/su]","system.auth","Oct 26, 2022 @ 02:54:50.899",system,"Oct 25 18:54:48 Web_Server sudo:     root : TTY=pts/0 ; PWD=/root ; USER=root ; COMMAND=/bin/su","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","36,791",system
"Oct 26, 2022 @ 02:54:03.885","3HB-EIQBIBAo7axPoJ1e",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:54:01 Web_Server CRON[20061]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory]","system.auth","Oct 26, 2022 @ 02:54:04.894",system,"Oct 25 18:54:01 Web_Server CRON[20061]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","36,076",system
"Oct 26, 2022 @ 02:53:08.875","tHB9EIQBIBAo7axP3J3_",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:53:01 Web_Server CRON[19426]: pam_unix(cron:session): session opened for user root by (uid=0)]","system.auth","Oct 26, 2022 @ 02:53:14.879",system,"Oct 25 18:53:01 Web_Server CRON[19426]: pam_unix(cron:session): session opened for user root by (uid=0)","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","35,972",system
"Oct 26, 2022 @ 02:52:03.269","sHB8EIQBIBAo7axP3J2-",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:52:01 Web_Server CRON[18942]: pam_unix(cron:session): session opened for user root by (uid=0)]","system.auth","Oct 26, 2022 @ 02:52:09.278",system,"Oct 25 18:52:01 Web_Server CRON[18942]: pam_unix(cron:session): session opened for user root by (uid=0)","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","35,733",system
"Oct 26, 2022 @ 02:52:03.269",r3B8EIQBIBAo7axPyZ0w,".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:52:01 Web_Server CRON[18942]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory]","system.auth","Oct 26, 2022 @ 02:52:04.271",system,"Oct 25 18:52:01 Web_Server CRON[18942]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","35,598",system
"Oct 26, 2022 @ 02:53:08.875",snB9EIQBIBAo7axPyZ11,".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:53:01 Web_Server CRON[19426]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory]","system.auth","Oct 26, 2022 @ 02:53:09.876",system,"Oct 25 18:53:01 Web_Server CRON[19426]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","35,837",system
"Oct 26, 2022 @ 02:49:38.244",p3B6EIQBIBAo7axPpp02,".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:49:32 Web_Server su[18232]: pam_unix(su:session): session opened for user root by (uid=0)]","system.auth","Oct 26, 2022 @ 02:49:44.246",system,"Oct 25 18:49:32 Web_Server su[18232]: pam_unix(su:session): session opened for user root by (uid=0)","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","35,020",system
